project,v1,v2,tool,old_file,old_line,old_description,new_file,new_line,new_description,status,file_name_changed,still_bug,same_description,false_positive
Git,1.5.6,2.13.2,pvs_studio,daemon.c,503,warning: An unconditional 'break' within a loop.,daemon.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,pvs_studio,archive-tar.c,287,note: "Be advised that the utilized constant value is represented by an octal form. Oct: 040777, Dec: 16895.",archive-tar.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,pvs_studio,archive-zip.c,87,error: "Be advised that the utilized constant value is represented by an octal form. Oct: 010, Dec: 8.",archive-zip.c,135,error: "Be advised that the utilized constant value is represented by an octal form. Oct: 010, Dec: 8.",moved,0,1,1,TFP
Git,1.5.6,2.13.2,pvs_studio,archive-zip.c,196,error: Consider inspecting the '(mode | 0777) << 16' expression. Bit shifting of the 32-bit value with a subsequent expansion to the 64-bit type.,archive-zip.c,308,error: Consider inspecting the '(mode | 0777) << 16' expression. Bit shifting of the 32-bit value with a subsequent expansion to the 64-bit type.,moved,0,1,1,TFP
Git,1.5.6,2.13.2,pvs_studio,archive-zip.c,317,error: "The 'args->base' pointer was utilized before it was verified against nullptr. Check lines: 319, 327.",archive-zip.c,565,NA,changed,0,0,NA,FFP2
Git,1.5.6,2.13.2,pvs_studio,archive-zip.c,333,note: "Be advised that the utilized constant value is represented by an octal form. Oct: 040777, Dec: 16895.",archive-zip.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,pvs_studio,attr.c,516,note: "The 'cp' pointer in the 'cp + 1' expression could be nullptr. In such case, resulting value will be senseless and it should not be used.",attr.c,972,NA,changed,0,0,NA,FFP2
Git,1.5.6,2.13.2,pvs_studio,attr.c,551,note: The 'strncmp' function returns 0 if corresponding strings are equal. Consider examining the condition for mistakes.,attr.c,1009,NA,changed,0,0,NA,FFP2
Git,1.5.6,2.13.2,pvs_studio,branch.c,157,warning: The variable 'track' is of enum type. It is odd that it is used as a variable of a Boolean-type.,branch.c,318,warning: The variable 'track' is of enum type. It is odd that it is used as a variable of a Boolean-type.,moved,0,1,1,TFP
Git,1.5.6,2.13.2,pvs_studio,bundle.c,37,note: The 'strcmp' function returns 0 if corresponding strings are equal. Consider examining the condition for mistakes.,bundle.c,32,note: The 'strcmp' function returns 0 if corresponding strings are equal. Consider examining the condition for mistakes.,changed,0,1,1,TFP
